Zombie,20.0,2.000,9.922640323638916
Zombie,16.2108278,15.167,12.012233972549438
Skeleton,20.0,5.000,9.473042011260986
Wolf,8.0,10.000,4.1266374588012695
Skeleton,20.0,0.000,8.28309416770935
Wolf,8.0,0.000,4.883100986480713
Wolf,8.0,6.000,3.141585350036621
Skeleton,20.0,0.000,4.658207416534424
Skeleton,20.0,3.667,7.962267637252808
Skeleton,20.0,2.000,5.377019166946411
Skeleton,20.0,2.000,6.134216785430908
Skeleton,20.0,6.333,7.600295066833496
Wolf,8.0,3.000,6.4529829025268555
Skeleton,20.0,4.000,5.807200193405151
Zombie,20.0,0.000,5.946451425552368
