episode,mob_type,total_damage_dealt,total_health_lost,total_time,min_reward,max_reward,killed_mob,episode_time
1,Skeleton,20.0,11.833334,8.27284860610962,-414.0,7.209600000000016,True,415
2,Witch,5.0,0.0,11.984335899353027,-613.25,10.209600000000016,False,599
3,Skeleton,10.44192,20.0,8.53420352935791,-423.0,0.0,False,423
4,Zombie,20.0,0.6666680000000014,8.79032826423645,-437.0,0.0,True,438
5,Witch,10.15,5.166668,12.014724731445312,-600.0,38.518400000000014,False,600
6,Witch,1.0,9.333334,11.982142686843872,-646.0,0.0,False,598
7,Witch,0.0,2.1666659999999993,11.985677480697632,-605.835555,0.0,False,598
8,Wolf,8.0,14.833333,7.183380126953125,-358.0,0.0,True,359
9,Zombie,20.0,0.0,3.1477017402648926,-156.0,29.320007500000003,True,157
10,Zombie,20.0,0.0,5.479423522949219,-272.0,0.0,True,273
11,Skeleton,20.0,9.166668,9.368395328521729,-470.64959085,15.134400000000007,True,471
12,Witch,0.0,13.333331000000001,12.05496096611023,-602.0,7.0,False,600
13,Witch,5.0,16.500002,11.986177921295166,-635.0,30.0,False,599
14,Zombie,20.0,15.833334,7.122038125991821,-373.0,36.98001500000001,True,358
15,Zombie,17.6080003,20.0,9.644930362701416,-484.66669,0.0,False,480
16,Skeleton,20.0,8.833333,10.917521476745605,-535.0,1.0,True,537
17,Skeleton,20.0,0.0,4.460514545440674,-221.0,45.0,True,223
18,Blaze,10.125759,19.9999980926514,12.061365842819214,-601.0,0.0,False,601
19,Ghast,10.0,0.0,4.570127725601196,-228.0,0.0,True,229
20,Witch,5.0,7.333334000000001,12.01554274559021,-613.0,58.0,False,600
21,Witch,0.0,4.0,11.970017194747925,-637.0,79.0,False,598
22,Blaze,17.265599299999998,20.0,4.667217254638672,-230.0,32.71359999999999,False,230
23,Skeleton,20.0,1.1666659999999993,6.5449864864349365,-320.0,2.0,True,322
24,Blaze,8.0,20.0,9.214120149612427,-452.0,0.0,False,452
25,Blaze,18.0,8.666667,12.02599835395813,-595.0,0.0,False,595
26,Blaze,16.0,14.0,3.5985777378082275,-197.666667,9.0,False,176
27,Wolf,8.0,0.0,1.924647569656372,-96.0,29.0,True,95
28,Ghast,10.0,0.0,0.8159074783325195,-38.0,50.0,True,40
29,Skeleton,20.0,0.0,6.79099440574646,-339.0,0.0,True,340
30,Zombie,20.0,6.833334000000001,8.241413831710815,-426.0,5.100000000000019,True,413
31,Ghast,10.0,0.0,4.898653745651245,-244.0,6.0,True,245
32,Wolf,8.0,0.0,0.569530725479126,-27.0,91.0,True,29
33,Ghast,10.0,0.0,1.961524486541748,-95.0,30.8656,True,98
34,Witch,26.0,5.999998,6.854984998703003,-370.0000045,0.0,True,343
35,Ghast,10.0,1.0,2.083944082260132,-110.0,84.999985,True,104
36,Zombie,20.0,4.833330999999999,7.312117099761963,-365.0,0.0,True,366
37,Ghast,10.0,0.0,5.993896484375,-299.0,24.0,True,300
38,Ghast,6.0,0.0,11.97716474533081,-598.0,28.0,False,598
39,Zombie,20.0,3.0,3.2285542488098145,-186.0,59.31999999999998,True,162
40,Ghast,10.0,6.999999000000001,11.371121883392334,-568.0,0.0,True,569
41,Zombie,20.0,2.333335999999999,6.560198545455933,-327.0,0.0,True,328
42,Witch,0.0,8.666665,11.96422004699707,-609.0,101.0,False,598
43,Wolf,8.0,6.0,3.2214221954345703,-188.0,39.0,True,161
44,Skeleton,20.0,0.0,1.8003895282745361,-89.0,129.0,True,90
45,Zombie,20.0,3.0,5.573274374008179,-277.0,14.039205000000013,True,279
46,Blaze,10.5,20.0,7.134988307952881,-358.666656,143.5,False,354
47,Skeleton,20.0,0.0,5.42891263961792,-272.0,0.0,True,273
48,Zombie,20.0,10.833333,4.384598016738892,-231.0,117.6,True,220
49,Blaze,6.125759,20.0,8.83724045753479,-438.0,0.0,False,438
50,Skeleton,20.0,0.5,3.667069435119629,-183.0,52.0,True,184
51,Zombie,20.0,4.999998,4.578579902648926,-229.00000000000003,9.10000000000002,True,229
52,Witch,4.0,10.666668,12.009137392044067,-645.0,0.0,False,600
53,Witch,0.0,20.0,10.329626083374023,-514.999981,0.0,False,513
54,Blaze,20.0,4.666665999999999,8.651296615600586,-433.841585165,13.0,True,434
55,Skeleton,20.0,9.833334,8.627331733703613,-438.0,0.0,True,432
56,Zombie,5.982077,20.0,7.67885422706604,-377.0,0.0,False,377
57,Ghast,10.0,3.0,5.141743183135986,-272.0,91.0,True,249
58,Blaze,5.0,1.8333340000000007,12.056704998016357,-600.0,4.0,False,600
59,Blaze,2.0,4.666664000000001,12.000585556030273,-600.0,0.0,False,600
60,Zombie,20.0,0.0,3.6629464626312256,-183.0,32.10000000000002,True,185
61,Zombie,20.0,8.833334,10.349498271942139,-516.0,0.0,True,518
62,Skeleton,20.0,4.833334000000001,10.32529592514038,-515.0,0.0,True,516
63,Zombie,20.0,2.0000009999999993,5.389615774154663,-273.0,98.3200075,True,270
64,Blaze,20.0,5.0,7.5635716915130615,-428.0,0.0,True,379
65,Ghast,10.0,0.0,7.12908673286438,-356.0,0.0,True,357
66,Ghast,10.0,0.0,2.835251808166504,-141.0,0.0,True,142
67,Witch,6.0,15.833334,11.999677181243896,-612.0,9.0,False,599
68,Skeleton,7.480639999999999,14.666668,11.97797703742981,-610.0,0.0,False,598
69,Skeleton,20.0,2.0,3.302672863006592,-178.0,100.0,True,166
70,Zombie,20.0,8.333333,6.088684797286987,-302.0,99.3200075,True,304
71,Wolf,8.0,0.0,1.018364429473877,-51.0,23.0,True,52
72,Skeleton,20.0,11.000002,9.800877332687378,-489.0,4.0,True,490
73,Wolf,8.0,0.0,1.8730831146240234,-92.0,38.0,True,94
74,Witch,2.5999979999999994,10.833334,11.960467100143433,-654.0,0.0,False,598
75,Blaze,9.0,20.0,10.260380029678345,-540.33334,101.0,False,509
76,Witch,0.0,10.166668,12.043292999267578,-597.0,0.0,False,596
77,Zombie,18.1790633,20.0,9.59886908531189,-483.66667,0.0,False,479
78,Blaze,15.0,4.833330999999999,12.002589225769043,-599.0,0.0,False,599
79,Wolf,8.0,1.0,1.62349534034729,-85.0,14.640006,True,81
80,Witch,5.0,13.000002,11.988407373428345,-642.0,90.0,False,599
81,Ghast,10.0,0.0,1.9716603755950928,-98.0,51.0,True,99
