episode,mob_type,total_damage_dealt,total_health_lost,total_time,min_reward,max_reward,killed_mob,episode_time
1,Witch,13.0,7.166668,11.985903263092041,-60.0,90.0,False,598
2,Ghast,5.0,20.0,11.874876976013184,-60.0,75.0,False,593
3,Witch,4.0,1.5,12.034809589385986,-60.0,135.0,False,600
4,Skeleton,20.0,1.0,2.02620005607605,-10.0,105.0,True,103
5,Skeleton,20.0,4.833334000000001,7.1765313148498535,-20.0,104.999985,True,359
6,Ghast,10.0,0.0,0.7291269302368164,0.0,105.0,True,37
7,Witch,0.0,2.0,11.980059623718262,-60.0,120.0,False,598
8,Zombie,20.0,11.833334,10.241959810256958,-30.0,103.32001500000001,True,513
9,Wolf,6.0,2.0,11.974133253097534,-40.0,60.0,False,597
10,Zombie,20.0,3.6666659999999993,6.376474857330322,-30.0,118.0799955,True,319
11,Blaze,13.0,20.0,9.006741046905518,-60.0,120.0,False,447
12,Wolf,8.0,14.8333335,9.58017611503601,-40.0,90.0,True,480
13,Zombie,14.071947,20.0,6.409080505371094,-30.0000002,73.8,False,318
14,Ghast,10.0,4.0,2.292874336242676,-60.0,105.0,True,117
15,Blaze,20.0,0.0,2.237576484680176,-60.0,165.0,True,115
16,Witch,0.0,11.833333,12.012698411941528,-60.0,75.0,False,599
17,Wolf,8.0,12.8333344,4.161160230636597,-40.0,45.0,True,208
18,Wolf,8.0,4.0,0.9997413158416748,-40.0,105.0,True,50
19,Witch,2.899998,20.0,11.883761644363403,-70.0,90.00000000000003,False,593
20,Blaze,20.0,0.0,9.087011814117432,0.0,120.0,True,455
21,Ghast,6.0,0.6666680000000014,11.985962867736816,-60.0,90.0,False,597
22,Zombie,20.0,4.833332,4.92240309715271,-30.0,118.08000150000001,True,246
23,Witch,0.19999699999999976,8.833334,12.071272611618042,-60.00000000000003,150.00000000000003,False,600
24,Zombie,20.0,4.666665999999999,4.495196580886841,-30.0,73.80000749999999,True,225
25,Zombie,20.0,6.5,4.448190689086914,-30.0,90.62402999999999,True,223
26,Witch,2.3130339999999983,8.666668,11.958661317825317,-60.00000000000003,136.66666750000002,False,596
27,Wolf,8.0,14.833333,4.705172777175903,-40.0,45.0,True,235
28,Wolf,8.0,1.0,7.895926237106323,-40.0,90.0,True,395
29,Zombie,20.0,3.0,3.6378891468048096,-30.0,103.3200075,True,182
30,Ghast,10.0,0.0,6.40572190284729,-40.0,85.1520045,True,321
31,Wolf,8.0,0.0,4.923903465270996,-40.0,74.999997,True,246
32,Zombie,20.0,0.0,10.230046510696411,-30.0,103.32,True,511
33,Wolf,8.0,3.6666659999999993,4.339805841445923,-40.0,37.2624,True,217
34,Witch,0.0,5.666668,11.99685025215149,-60.0,105.0,False,599
35,Ghast,10.0,0.0,0.536545991897583,-10.0,150.0,True,28
36,Ghast,10.0,0.0,0.4550776481628418,0.0,127.7904,True,23
37,Skeleton,20.0,2.0,4.359854459762573,-20.0,105.0,True,219
38,Ghast,10.0,0.0,6.9405810832977295,-60.0,103.4304075,True,346
