episode,mob_type,total_damage_dealt,total_health_lost,total_time,min_reward,max_reward,killed_mob,episode_time
1,Zombie,20.0,7.666668,4.431473016738892,-30.0,254.18787500000002,True,443
2,Zombie,20.0,3.0,2.7581703662872314,0.0,175.700009,True,276
3,Zombie,20.0,6.333334000000001,3.9119811058044434,-30.0,295.51469,True,389
4,Zombie,20.0,0.0,1.3637120723724365,0.0,219.5599985,True,135
5,Zombie,20.0,0.0,2.3922457695007324,0.0,273.4139345,True,240
6,Zombie,20.0,19.166667,5.295097827911377,-30.0,297.1599605,True,529
7,Zombie,20.0,0.0,2.4559178352355957,0.0,234.4999955,True,243
8,Zombie,20.0,3.0,3.163800001144409,-30.0,230.7241895,True,316
9,Zombie,20.0,0.0,3.60217547416687,-30.0,200.80947815,True,361
10,Zombie,20.0,0.0,2.2916173934936523,-30.0,249.7999955,True,229
11,Zombie,20.0,0.0,2.6362335681915283,0.0,204.9799895,True,262
12,Zombie,20.0,0.0,1.714611530303955,0.0,337.64,True,173
13,Zombie,20.0,0.0,3.363145589828491,0.0,249.7999955,True,336
14,Zombie,20.0,0.0,2.6033012866973877,-30.0,229.5051365,True,260
15,Zombie,20.0,0.0,2.581317663192749,0.0,250.819985,True,259
16,Zombie,20.0,0.0,3.0591745376586914,-30.0,264.559991,True,306
17,Zombie,20.0,2.3333340000000007,4.090272665023804,-30.0,223.1695295,True,405
18,Zombie,20.0,0.0,2.183370351791382,-30.0,250.95566300000002,True,219
19,Zombie,20.0,0.0,4.014423608779907,-30.0,206.539991,True,401
20,Zombie,20.0,0.8333340000000007,4.010785341262817,-30.0,214.17445895,True,402
21,Zombie,20.0,0.0,3.1136207580566406,-30.0,201.7851299,True,312
22,Zombie,13.2711124,0.0,5.954953193664551,-30.0,59.04,False,593
23,Zombie,20.0,0.0,3.6658129692077637,0.0,234.4999955,True,368
24,Zombie,20.0,3.0,2.7475733757019043,0.0,189.7399925,True,276
25,Zombie,20.0,0.0,1.7823889255523682,-30.0,220.460012,True,179
26,Zombie,20.0,0.0,1.753784418106079,0.0,206.239991,True,176
27,Zombie,20.0,5.166667,3.982666492462158,-30.0,258.8296445,True,399
28,Zombie,20.0,0.0,5.226124286651611,-30.0,235.0399955,True,522
29,Zombie,7.827999999999999,0.0,6.0239574909210205,-30.0,103.3200075,False,600
30,Zombie,20.0,2.0,3.2324390411376953,-30.0,234.6799895,True,322
31,Zombie,20.0,0.0,1.9426414966583252,0.0,278.6,True,195
32,Zombie,20.0,0.0,1.8765592575073242,0.0,220.4600045,True,185
33,Zombie,20.0,3.0,1.6267876625061035,-30.0,184.59413,True,162
34,Zombie,20.0,0.0,3.861320734024048,-30.0,200.24078369,True,387
35,Zombie,20.0,3.0,2.033468246459961,-30.0,219.5599955,True,204
36,Zombie,20.0,8.33333,5.216381788253784,-30.0,207.799982,True,522
37,Zombie,20.0,3.0,3.1008002758026123,-30.0,219.237755,True,310
38,Zombie,20.0,0.0,5.971297740936279,-30.0,249.7999955,True,590
39,Zombie,20.0,2.1666659999999993,1.9558238983154297,-30.0,220.279997,True,196
40,Zombie,20.0,0.0,1.979954719543457,0.0,249.0799865,True,198
41,Zombie,20.0,2.0,1.9657511711120605,-30.0,205.51999325,True,197
42,Zombie,20.0,0.0,1.9123926162719727,0.0,279.32,True,187
43,Zombie,20.0,0.0,1.6604564189910889,-30.0,279.319985,True,165
44,Zombie,12.2008476,2.0000019999999985,6.045960426330566,-30.0,60.706653999999986,False,598
45,Zombie,14.9054136,0.0,6.027694225311279,-30.0,68.88413499999999,False,601
46,Zombie,20.0,0.0,0.8567104339599609,0.0,278.5999895,True,84
47,Zombie,20.0,4.166665999999999,2.4509544372558594,-30.0,294.019985,True,246
48,Zombie,20.0,0.0,4.387990474700928,-30.0,243.469481,True,438
49,Zombie,20.0,0.0,2.369201898574829,-30.0,220.279985,True,237
50,Zombie,20.0,0.0,2.3273661136627197,0.0,237.1999925,True,232
51,Zombie,20.0,2.0,1.927532434463501,-30.0,220.280003,True,193
52,Zombie,11.190036,3.8333319999999986,5.9745399951934814,-30.0,98.56,False,597
